Taxon Id	Common name	Scientific name	Lineage	Links
11714	HIV-2	Human immunodeficiency virus type 2 subtype A (isolate BEN)	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Lentivirus, Human immunodeficiency virus 2, HIV-2 subtype A	
11909	HTLV-2	Human T-cell leukemia virus 2	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Deltaretrovirus, Primate T-lymphotropic virus 2	
11927	HTLV-1	Human T-cell leukemia virus 1 (isolate Caribbea HS-35 subtype A)	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Orthoretrovirinae, Deltaretrovirus, Primate T-lymphotropic virus 1, Human T-cell leukemia virus type I, HTLV-1 subtype A	
11963	SFVcpz(hu)	Human spumaretrovirus	Viruses, Riboviria, Pararnavirae, Artverviricota, Revtraviricetes, Ortervirales, Retroviridae, Spumaretrovirinae, Spumavirus, Simian foamy virus	
12081		Poliovirus type 1 (strain Mahoney)	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Ensavirinae, Enterovirus, Enterovirus C, Poliovirus 1	
12098	HHAV	Human hepatitis A virus genotype IB (isolate HM175)	Viruses, Riboviria, Orthornavirae, Pisuviricota, Pisoniviricetes, Picornavirales, Picornaviridae, Heptrevirinae, Hepatovirus, Hepatovirus A, Human hepatitis A virus	
12456	HAstV-1	Human astrovirus-1	Viruses, Riboviria, Orthornavirae, Pisuviricota, Stelpaviricetes, Stellavirales, Astroviridae, Mamastrovirus, Mamastrovirus 1	
31567	RV-C	Rotavirus C (isolate RVC/Human/United Kingdom/Bristol/1989)	Viruses, Riboviria, Orthornavirae, Duplornaviricota, Resentoviricetes, Reovirales, Sedoreoviridae, Rotavirus, Rotavirus C	
31762	HDV	Hepatitis delta virus genotype I (isolate D380)	Viruses, Ribozyviria, Kolmioviridae, Deltavirus, Hepatitis delta virus	
33727	MARV	Lake Victoria marburgvirus (strain Musoke-80)	Viruses, Riboviria, Orthornavirae, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Filoviridae, Marburgvirus, Marburg marburgvirus	
